STATIONS_ID	MESS_DATUM	QN_3	FX	FM	QN_4	RSK	RSKF	SDK	SHK_TAG	NM	VPM	PM	TMK	UPM	TXK	TNK	TGK	eor
3987	2017-01-05	10	12.2	4.4	3	0	7	2.05	1	3.9	3.7	1014.42	-3.5	77.33	-0.8	-8.4	-11.7	eor
3987	2017-01-06	10	5.6	2.9	3	0	0	7.267	1	0.9	2.8	1027.5	-8	83.08	-4.2	-10.3	-13.7	eor
3987	2017-01-07	10	8.4	4	3	3.7	7	0	1	7.6	3.2	1017.79	-5.8	79.96	-2.8	-9.3	-10.4	eor
3987	2017-01-08	10	5.1	1.7	3	0.1	8	0	4	8	5	1015.7	-2	94.46	-1.2	-3	-2.9	eor
3987	2017-01-09	10	8.1	2.2	3	0	7	0	3	7.9	5.3	1013.06	-1.4	95.54	-0.4	-2.9	-4.7	eor
3987	2017-01-10	10	11.5	4.7	3	0	0	6.417	3	2.3	4.1	1001.88	-2.6	81.13	0.5	-5.9	-9.3	eor
3987	2017-01-11	10	16.6	6.3	3	3.7	8	0.05	3	7.5	4.3	993.2	-2.8	82.71	3	-6.8	-6.9	eor
3987	2017-01-12	10	16.9	7	3	2.2	8	0.1	7	6.8	6	990.09	2.6	80.83	4.6	1.5	-0.4	eor
3987	2017-01-13	10	13.6	5.7	3	5.1	8	0	6	7.2	6.2	979.05	0.9	94.42	2.1	-1.2	-5.3	eor
3987	2017-01-14	10	12	4.6	3	0.8	8	1.1	5	6	5.4	990.37	0	88.33	1.8	-1.4	-4.7	eor
3987	2017-01-15	10	12.8	5.1	3	1.6	7	0	5	7.8	5.5	1001.57	-0.2	91.25	0.5	-1.8	-4.5	eor
3987	2017-01-16	10	5.8	2.6	3	0	7	0	9	6.9	4.5	1013.02	-2.8	90.21	-1.6	-5.3	-12	eor
3987	2017-01-17	10	4.5	2.2	3	0	0	7.733	9	2.4	3.9	1023.71	-4.6	90.83	0.1	-8	-14.8	eor
3987	2017-01-18	10	4.1	1.7	3	0	7	0	7	7.8	3.7	1028.33	-5.5	91.88	-3.6	-8.8	-13.5	eor
3987	2017-01-19	10	4.5	1.8	3	0	8	0.05	6	7.3	4.1	1026.35	-3.4	86.67	-1.2	-5.2	-5.7	eor
3987	2017-01-20	10	4.5	2.6	3	0	6	0	6	8	5.2	1023.1	-0.5	87.42	0.9	-2.2	-2	eor
3987	2017-01-21	10	4.9	2.1	3	0	0	0	5	7.8	6.1	1020.35	0.8	94.58	2.1	-0.7	-2.1	eor
3987	2017-01-22	10	8.4	3.4	3	0	7	6.083	4	4	5	1016.12	-0.7	87.21	3.2	-3.4	-7.8	eor
3987	2017-01-23	10	6.1	2.2	3	0.1	8	0	4	7.8	4.5	1012.8	-3.6	94.79	-2.3	-5.2	-6.9	eor
3987	2017-01-24	10	5.4	2.7	3	0	7	0	3	8	5.4	1015.93	-1.4	96.67	-0.5	-2.4	-2.5	eor
3987	2017-01-25	10	5.3	2.1	3	0	7	0	3	8	5.7	1019.83	-0.4	96.25	0.2	-0.9	-1.1	eor
3987	2017-01-26	10	8.9	3.4	3	0	0	4.5	3	5.5	5.2	1018.58	-0.3	87.29	2.4	-3.3	-7.4	eor
3987	2017-01-27	10	7.5	3.3	3	0	0	8.25	3	0.6	3.8	1012.21	-2	73.33	3.2	-4.7	-9.9	eor
3987	2017-01-28	10	8.5	3.5	3	0	0	7.783	3	0.8	3.6	1008.02	-4.1	79.33	-0.4	-7.1	-11.3	eor
3987	2017-01-29	10	8.6	4.5	3	0	0	6.017	3	4	4.6	1008.44	0.7	72.17	6.2	-3.7	-7.6	eor
3987	2017-01-30	10	9.3	4.1	3	6.7	8	0	3	6.7	5.5	1002.77	0.1	89.63	2.4	-2.2	-5.7	eor
3987	2017-01-31	10	7.1	3.1	3	0	8	0	4	8	5.8	1003.68	-0.3	97.04	0.1	-0.7	-0.7	eor
3987	2017-02-01	10	6.8	2.4	3	0	7	0	3	6.4	5.4	1008.63	-1	94.92	0	-3.6	-6.5	eor
3987	2017-02-02	10	8	4	3	0.1	6	2.35	3	4.9	4.8	1001.79	-2.5	92.92	0.1	-6	-8.4	eor
3987	2017-02-03	10	9	4.4	3	0.5	6	0	3	7.9	6.4	995.32	0.9	97.67	2.8	-0.6	-0.7	eor
3987	2017-02-04	10	9.9	4.1	3	0	0	0.7	2	7.8	7	992.81	2	99	4.3	0.8	0.4	eor
3987	2017-02-05	10	9.5	3.1	3	0.4	7	0	0	8	6.7	993.18	1.5	98.92	2.3	0.4	0.2	eor
3987	2017-02-06	10	8.6	3.4	3	0.2	7	0	0	8	5.1	1006.57	-1.1	89.25	0.4	-2.4	-2.4	eor
3987	2017-02-07	10	8.6	3.9	3	0	7	0	0	7.8	4.3	1011.54	-1.3	76.88	-0.7	-2.2	-2.4	eor
3987	2017-02-08	10	9.6	4	3	0	7	0.25	0	7.5	3.4	1016.75	-3.7	73.17	-2.2	-5.1	-6.5	eor
3987	2017-02-09	10	10.4	4.2	3	0	7	2.667	0	6.8	3.3	1020.25	-4.2	72.63	-1.7	-5.5	-7	eor
3987	2017-02-10	10	13	6	3	0	0	4.833	0	4.5	3.7	1015.94	-3.2	75.42	0.1	-6.1	-7.2	eor
3987	2017-02-11	10	12.1	5.9	3	0	0	0	0	7.4	3.3	1014.99	-2.3	64.5	-1.2	-3.3	-3.2	eor
3987	2017-02-12	10	10.8	5.2	3	0	0	4.817	0	6.3	3.6	1020.87	-1.8	67.58	0.8	-3.6	-5.3	eor
3987	2017-02-13	10	9.3	4.4	3	0	0	8.8	0	0.7	3.7	1024.64	-3.1	75.67	2.8	-7	-8.1	eor
3987	2017-02-14	10	8.3	4.2	3	0	0	6.9	0	1.3	3.9	1023.19	-2.7	78.5	4	-8.3	-9.3	eor
3987	2017-02-15	10	7.2	4	3	0	0	9.45	0	0.4	4.6	1021.65	2.7	64.5	10.2	-3.6	-6.5	eor
3987	2017-02-16	10	8	4.2	3	0.3	6	6.633	0	3.3	7	1015.95	5.5	76.54	12.3	-0.6	-4.4	eor
3987	2017-02-17	10	10.5	4.3	3	1.5	6	0	0	7.9	8.2	1009.27	4.5	96.38	6.2	2.3	0	eor
3987	2017-02-18	10	7.9	3.5	3	0.1	6	0	0	8	7.2	1012.7	3.4	92.63	4.3	2.3	0.6	eor
3987	2017-02-19	10	9.8	4.3	3	2.1	6	1.567	0	6.9	6.9	1007.98	3.8	86.25	8.6	-0.7	-2.7	eor
3987	2017-02-20	10	15.2	6.3	3	2.9	6	0	0	7.9	8.9	1000.15	6.6	91.13	9.5	4.2	2.9	eor
3987	2017-02-21	10	17.3	6.8	3	2.3	6	2.617	0	5.4	8.6	996.44	7	85.92	9.8	3	-1	eor
3987	2017-02-22	10	20.5	8.1	3	9.3	6	0	0	6.6	8.9	988.95	7	87.71	11.3	2.9	-1.2	eor
3987	2017-02-23	10	20.5	6.4	3	8.2	6	0	0	6.9	8.3	982.66	6.4	86.17	8.2	4	1.6	eor
3987	2017-02-24	10	22.8	7.3	3	2	8	3.233	0	5.5	6	990.67	2.8	80.5	6.9	0	-2.9	eor
3987	2017-02-25	10	12	4.9	3	0.4	6	3.867	0	5.6	6	1005.7	3.1	79.67	6.5	-0.7	-2.8	eor
3987	2017-02-26	10	12	5.6	3	1.7	6	0.35	0	7.6	7.5	998.55	7.7	70.79	10.7	4.6	3.5	eor
3987	2017-02-27	10	12.3	4.9	3	0	6	6.283	0	5	7.5	991.87	9.6	63.38	13.6	6.1	2.4	eor
3987	2017-02-28	10	16.1	6	3	0.3	6	1.883	0	7.1	6.8	981.4	8.3	61.88	11	4	2.8	eor
3987	2017-03-01	10	14	4.9	3	3.3	6	3.117	0	5.6	7	987.47	3.8	87.42	7.3	1.7	-0.8	eor
3987	2017-03-02	10	22.3	6.9	3	2.7	6	0.1	0	7.8	7.7	991.15	5.1	87.04	7	2.9	1.6	eor
3987	2017-03-03	10	11	4.5	3	0	0	8.567	0	5.5	6.2	998.4	6.4	66.38	11.7	0.9	-2.3	eor
3987	2017-03-04	10	9.2	4.2	3	0.9	6	6.8	0	6.8	6.9	985.96	9.5	59.04	17.2	3.3	1.6	eor
3987	2017-03-05	10	13.3	4.6	3	0	6	2.717	0	6.5	7.9	988.3	8.8	70.79	12.6	5.7	3.2	eor
3987	2017-03-06	10	6.6	2.5	3	3.4	8	0	0	7	7.6	988.91	5.4	84.96	8.2	2.9	0.7	eor
3987	2017-03-07	10	10.3	3.2	3	0	6	0	0	8	6.3	999.88	2.7	85.17	3.9	1.6	1.4	eor
3987	2017-03-08	10	12.9	4	3	4.4	6	2.067	0	7.3	7	1006.12	5.6	78.21	10.3	2	0.8	eor
3987	2017-03-09	10	14.8	3.9	3	3.1	6	1.867	0	7.3	8.4	1002.84	7	84.75	11	4.6	4.2	eor
3987	2017-03-10	10	14.1	5.5	3	0.2	6	0.683	0	7.3	7.4	1009.74	6.6	76.21	9.6	3.9	0.9	eor
3987	2017-03-11	10	5.4	2.6	3	0	0	3.033	0	4.3	6.8	1013.15	4.1	83.96	8.6	0.8	-3.1	eor
